hour,price,hour,value,gasUsed
2023-01-31 13:00:00.000 UTC,1583.61,2023-01-31 13:00:00.000 UTC,3949.0044272968025,1.517935386e+09
2023-07-11 05:00:00.000 UTC,1879.57,2023-07-11 05:00:00.000 UTC,2481.2983710881126,1.903342066e+09
2023-05-07 17:00:00.000 UTC,1927.77,2023-05-07 17:00:00.000 UTC,3003.3944441958465,2.187533318e+09
2023-05-09 16:00:00.000 UTC,1847.95,2023-05-09 16:00:00.000 UTC,5946.494539633974,1.900896535e+09
2023-02-23 01:00:00.000 UTC,1643.18,2023-02-23 01:00:00.000 UTC,2958.323415552065,1.33316177e+09
2023-03-16 12:00:00.000 UTC,1665.01,2023-03-16 12:00:00.000 UTC,3950.404137372394,1.247842153e+09
2023-03-15 06:00:00.000 UTC,1708.97,2023-03-15 06:00:00.000 UTC,9560.504360078512,1.69125791e+09
2023-05-07 22:00:00.000 UTC,1919.64,2023-05-07 22:00:00.000 UTC,3413.9826100463165,1.988270452e+09
2023-07-17 13:00:00.000 UTC,1918.1,2023-07-17 13:00:00.000 UTC,8743.437386199212,1.534575384e+09
2023-03-17 07:00:00.000 UTC,1722.98,2023-03-17 07:00:00.000 UTC,6443.096722724582,1.229936998e+09
